"Date","Vegetable","lbs","Unit Price (per pound)","Cost","Bimonthly","Bimonthly_Cost","Bimonthly_lbs","year_lbs","year_cost","family"
24-01-19,"radish",6.8,"$4.16",28.29,"Late Jan",124.38,29.9,221,919.36,"Brassicaceae"
24-01-24,"dill",0.85,"$11.00",9.35,"Late Jan",9.35,0.85,2.1,23.1,"Apiaceae"
24-01-24,"collards",21.35,"$5.00",106.75,"Late Jan",106.75,21.35,275.05,1375.25,"Brassicaceae"
24-01-24,"parsley",2.6,"$1.99",5.17,"Late Jan",5.17,2.6,5.85,11.64,"Apiaceae"
24-01-24,"kale",16.4,"$2.30",37.72,"Late Jan",37.72,16.4,180.85,415.98,"Brassicaceae"
24-01-24,"radish",5.95,"$4.16",24.75,"Late Jan",124.38,29.9,221,919.36,"Brassicaceae"
24-01-24,"swiss chard",7.9,"$2.42",19.12,"Late Jan",19.12,7.9,213.7,517.16,"Amaranthaceae"
24-01-30,"radish",17.15,"$4.16",71.34,"Late Jan",124.38,29.9,221,919.36,"Brassicaceae"
24-02-01,"kale",21.85,"$2.30",50.26,"Early Feb",86.95,37.8,180.85,415.98,"Brassicaceae"
24-02-02,"collards",23.95,"$5.00",119.75,"Early Feb",440.75,88.15,275.05,1375.25,"Brassicaceae"
24-02-02,"parsley",2.85,"$1.99",5.67,"Early Feb",5.67,2.85,5.85,11.64,"Apiaceae"
24-02-07,"mustards",6.8,"$2.42",16.46,"Early Feb",45.02,18.6,135.65,328.28,"Brassicaceae"
24-02-07,"collards",27,"$5.00",135,"Early Feb",440.75,88.15,275.05,1375.25,"Brassicaceae"
24-02-07,"kale",7.65,"$2.30",17.6,"Early Feb",86.95,37.8,180.85,415.98,"Brassicaceae"
23-02-07,"dill",0.4,"$11.00",4.4,"Early Feb",4.4,0.4,2.1,23.1,"Apiaceae"
24-02-07,"radish",3.3,"$4.16",13.73,"Early Feb",55.33,13.3,221,919.36,"Brassicaceae"
24-02-12,"radish",10,"$4.16",41.6,"Early Feb",55.33,13.3,221,919.36,"Brassicaceae"
24-02-14,"mustards",11.8,"$2.42",28.56,"Early Feb",45.02,18.6,135.65,328.28,"Brassicaceae"
24-02-14,"swiss chard",7.2,"$2.42",17.42,"Early Feb",17.42,7.2,213.7,517.16,"Amaranthaceae"
24-02-14,"collards",37.2,"$5.00",186,"Early Feb",440.75,88.15,275.05,1375.25,"Brassicaceae"
24-02-14,"kale",8.3,"$2.30",19.09,"Early Feb",86.95,37.8,180.85,415.98,"Brassicaceae"
24-02-20,"radish",5.7,"$4.16",23.71,"Late Feb",23.71,5.7,221,919.36,"Brassicaceae"
24-02-21,"mustards",30.8,"$2.42",74.54,"Late Feb",124.87,51.6,135.65,328.28,"Brassicaceae"
24-02-21,"collards",26.8,"$5.00",134,"Late Feb",263.5,52.7,275.05,1375.25,"Brassicaceae"
24-02-21,"kale",20.8,"$2.30",47.84,"Late Feb",84.18,36.6,180.85,415.98,"Brassicaceae"
24-02-28,"swiss chard",5.05,"$2.42",12.22,"Late Feb",12.22,5.05,213.7,517.16,"Amaranthaceae"
24-02-28,"collards",25.9,"$5.00",129.5,"Late Feb",263.5,52.7,275.05,1375.25,"Brassicaceae"
24-02-28,"kale",15.8,"$2.30",36.34,"Late Feb",84.18,36.6,180.85,415.98,"Brassicaceae"
24-02-28,"mustards",16.2,"$2.42",39.2,"Late Feb",124.87,51.6,135.65,328.28,"Brassicaceae"
24-02-29,"mustards",4.6,"$2.42",11.13,"Late Feb",124.87,51.6,135.65,328.28,"Brassicaceae"
24-03-06,"swiss chard",6.35,"$2.42",15.37,"Early Mar",15.37,6.35,213.7,517.16,"Amaranthaceae"
24-03-06,"radish",15.2,"$4.16",63.23,"Early Mar",63.23,15.2,221,919.36,"Brassicaceae"
24-03-18,"dill",0.85,"$11.00",9.35,"Late Mar",9.35,0.85,2.1,23.1,"Apiaceae"
24-03-19,"mustards",44.45,"$2.42",107.57,"Late Mar",107.57,44.45,135.65,328.28,"Brassicaceae"
24-03-20,"kale",34.45,"$2.30",79.24,"Late Mar",146.17,63.55,180.85,415.98,"Brassicaceae"
24-03-20,"collards",32.5,"$5.00",162.5,"Late Mar",315,63,275.05,1375.25,"Brassicaceae"
24-03-20,"radish",23.35,"$4.16",97.14,"Late Mar",266.87,64.15,221,919.36,"Brassicaceae"
24-03-20,"swiss chard",10.75,"$2.42",26.02,"Late Mar",54.21,22.4,213.7,517.16,"Amaranthaceae"
