"Vegetable","total_lbs","total_cost","year_weightclass","year_priceclass","family"
"basil",8.1,243,"< 10","100 ≤ 300","Lamiaceae"
"beets",29.6,59.79,"10 ≤ 50","25 ≤ 100","Amaranthaceae"
"bok choy",431.2,763.23,"> 50",">300","Brassicaceae"
"carrots",27.45,49.69,"10 ≤ 50","25 ≤ 100","Apiaceae"
"chard",3.25,5.1,"< 10","<25","Amaranthaceae"
"cherries",2.05,10.46,"< 10","<25","Rosaceae"
"cherry tomatoes",54.75,273.21,"> 50","100 ≤ 300","Solanaceae"
"chives",27.4,411,"10 ≤ 50",">300","Alliaceae"
"collards",275.05,1375.25,"> 50",">300","Brassicaceae"
"cucumbers",675.2,1080.32,"> 50",">300","Cucurbitaceae"
"dill",2.1,23.1,"< 10","<25","Apiaceae"
"eggplant",658.55,1639.81,"> 50",">300","Solanaceae"
"ginger",2.5,7.8,"< 10","<25","Zingiberaceae"
"kale",180.85,415.98,"> 50",">300","Brassicaceae"
"lemon balm",0.4,24.7,"< 10","<25","Lamiaceae"
"lemongrass",11.8,508.46,"10 ≤ 50",">300","Other"
"lettuce",172.15,565.28,"> 50",">300","Asteraceae"
"mint",0.7,12.6,"< 10","<25","Lamiaceae"
"mustards",135.65,328.28,"> 50",">300","Brassicaceae"
"napa cabbage",313.85,627.7,"> 50",">300","Brassicaceae"
"okra",243.853,1243.75,"> 50",">300","Malvaceae"
"onion",15.2,33.29,"10 ≤ 50","25 ≤ 100","Other"
"parsley",5.85,11.64,"< 10","<25","Apiaceae"
"peppers",867.2,2277.29,"> 50",">300","Solanaceae"
"potatoes",33.45,68.91,"10 ≤ 50","25 ≤ 100","Other"
"pumpkins",114.7,229.4,"> 50","100 ≤ 300","Cucurbitaceae"
"radish",221,919.36,"> 50",">300","Brassicaceae"
"roselle",9.85,88.56,"< 10","25 ≤ 100","Malvaceae"
"snap peas",14.95,134.55,"10 ≤ 50","100 ≤ 300","Fabaceae"
"spinach",12.95,70.97,"10 ≤ 50","25 ≤ 100","Amaranthaceae"
"squash",114.35,269.86,"> 50","100 ≤ 300","Cucurbitaceae"
"sweet potatoes",14.1,26.51,"10 ≤ 50","25 ≤ 100","Other"
"swiss chard",213.7,517.16,"> 50",">300","Amaranthaceae"
"tomatoes",82.2,327.16,"> 50",">300","Solanaceae"
"turmeric",31.55,204.18,"10 ≤ 50","100 ≤ 300","Zingiberaceae"
"watermelon",2164.7,2143.06,"watermelon",">300","Cucurbitaceae"
"zucchini",644.5,2081.77,"> 50",">300","Cucurbitaceae"
